Density,Tests,Avg_MISP_Size,Avg_Time(s),Avg_Iterations
0.1,30,72.27,10.0002,37740
0.2,30,37.40,10.0002,31560
0.3,30,24.63,10.0002,33661
0.4,30,16.30,10.0002,59041
0.5,30,12.53,10.0003,59983
0.6,30,9.77,10.0001,66589
0.7,30,7.67,10.0001,77648
0.8,30,6.03,10.0001,93765
0.9,30,4.50,10.0001,111923
