Density,Tests,Avg_MISP_Size,Avg_Time(s),Avg_Iterations
0.1,30,63.87,10.0000,202201
0.2,30,32.60,10.0000,178262
0.3,30,21.83,10.0001,128736
0.4,30,14.70,10.0001,212315
0.5,30,11.17,10.0000,263065
0.6,30,8.87,10.0000,277629
0.7,30,7.17,10.0000,309882
0.8,30,5.73,10.0000,341608
0.9,30,4.13,10.0000,480608
